date,equity,position,xgb_prob,pnl,period,peak,drawdown
0,0.9992261348593441,-1,0.3649925,-0.0007738651406559152,IS_XGB_TRAIN,0.9992261348593441,0.0
1,1.001776386793286,-1,0.37786707,0.0025522270134588076,IS_XGB_TRAIN,1.001776386793286,0.0
2,1.0110562952700441,-1,0.3686392,0.009263453001186694,IS_XGB_TRAIN,1.0110562952700441,0.0
3,1.00637621534657,1,0.33948216,-0.004628901422570219,IS_XGB_TRAIN,1.0110562952700441,-0.00462890142257022
4,1.0156550278898768,1,0.46158206,0.009220023686779433,IS_XGB_TRAIN,1.0156550278898768,0.0
5,1.0441190640610256,1,0.44944978,0.028025299328538367,IS_XGB_TRAIN,1.0441190640610256,0.0
6,1.0752042342390415,-1,0.407291,0.029771671879174733,IS_XGB_TRAIN,1.0752042342390415,0.0
7,1.0752166345230805,1,0.3957591,1.1532956850302846e-05,IS_XGB_TRAIN,1.0752166345230805,0.0
8,1.0748310656847757,1,0.43029368,-0.00035859642226954147,IS_XGB_TRAIN,1.0752166345230805,-0.0003585964222696525
9,1.0702748024659159,1,0.41108155,-0.004239050548801471,IS_XGB_TRAIN,1.0752166345230805,-0.004596126862710381
10,1.066559678256445,1,0.37533212,-0.00347118721370554,IS_XGB_TRAIN,1.0752166345230805,-0.008051360059617485
11,1.0560450663004046,1,0.3544497,-0.009858437526186203,IS_XGB_TRAIN,1.0752166345230805,-0.017830423755655134
12,1.0316513799354372,1,0.3909943,-0.023099095998265207,IS_XGB_TRAIN,1.0752166345230805,-0.04051765308389865
13,1.037329255418152,1,0.5395543,0.005503676525950185,IS_XGB_TRAIN,1.0752166345230805,-0.03523697261411307
14,1.012024241541677,1,0.45359632,-0.024394389480777212,IS_XGB_TRAIN,1.0752166345230805,-0.05877177766081809
15,0.9895231179478348,1,0.4869806,-0.022233779261616182,IS_XGB_TRAIN,1.0752166345230805,-0.07969883819111079
16,0.9711927823192174,1,0.42724684,-0.018524413726313527,IS_XGB_TRAIN,1.0752166345230805,-0.09674687766526568
17,0.9998624458179177,1,0.5192768,0.029520054123792994,IS_XGB_TRAIN,1.0752166345230805,-0.07008279660645933
18,1.015353796912843,1,0.56855935,0.015493482288209126,IS_XGB_TRAIN,1.0752166345230805,-0.05567514088618064
19,1.0218728114049467,1,0.6447769,0.006420436415291553,IS_XGB_TRAIN,1.0752166345230805,-0.04961216317286121
20,1.0049444677099804,1,0.5073516,-0.01656599872903164,IS_XGB_TRAIN,1.0752166345230805,-0.06535628686982675
21,1.0063113653925722,1,0.59527355,0.0013601723543059663,IS_XGB_TRAIN,1.0752166345230805,-0.06408501033010128
22,1.018332971281433,1,0.57016546,0.011946208998813379,IS_XGB_TRAIN,1.0752166345230805,-0.05290437425838235
23,1.0306349568400903,1,0.59457594,0.012080513845267093,IS_XGB_TRAIN,1.0752166345230805,-0.04146297243881891
24,1.0333336579542147,1,0.53955704,0.002618483970695751,IS_XGB_TRAIN,1.0752166345230805,-0.038953058596831736
25,1.0427617518974597,1,0.50123507,0.009123959014274874,IS_XGB_TRAIN,1.0752166345230805,-0.030184505692675057
26,1.0362076431542966,1,0.43616736,-0.006285336733186542,IS_XGB_TRAIN,1.0752166345230805,-0.03628012264345837
27,1.0286021106493972,1,0.45966485,-0.0073397764966753876,IS_XGB_TRAIN,1.0752166345230805,-0.04335361114865888
28,1.0541174092782193,1,0.49095464,0.024805800381561882,IS_XGB_TRAIN,1.0752166345230805,-0.019623231791070506
29,1.0416051389672147,1,0.42900795,-0.011869901968104335,IS_XGB_TRAIN,1.0752166345230805,-0.0312602079215174
30,1.0128653805510652,1,0.46968773,-0.02759179783295418,IS_XGB_TRAIN,1.0752166345230805,-0.05798948041728502
31,0.9928527669036699,1,0.43327966,-0.019758414130520707,IS_XGB_TRAIN,1.0752166345230805,-0.07660211437850728
32,0.9757490455380766,1,0.3648449,-0.01722684564694643,IS_XGB_TRAIN,1.0752166345230805,-0.0925093472248254
33,0.9717185409924196,1,0.40190923,-0.0041306774155586146,IS_XGB_TRAIN,1.0752166345230805,-0.09625789836907439
34,0.9313426519410443,1,0.3978544,-0.041551012302532886,IS_XGB_TRAIN,1.0752166345230805,-0.1338092975522579
35,0.9225806000905699,1,0.45236668,-0.009407978719983556,IS_XGB_TRAIN,1.0752166345230805,-0.14195840124833392
36,0.9412964109728226,1,0.47099906,0.020286369429852957,IS_XGB_TRAIN,1.0752166345230805,-0.12455185238987598
37,0.9390883742808417,1,0.4419613,-0.002345740051955425,IS_XGB_TRAIN,1.0752166345230805,-0.1266054261731352
38,0.9190757606334462,1,0.41481772,-0.021310681928866648,IS_XGB_TRAIN,1.0752166345230805,-0.14521806013435756
39,0.8909317622232792,1,0.4009439,-0.030622065792236364,IS_XGB_TRAIN,1.0752166345230805,-0.17139324893493868
40,0.7809847959102991,1,0.4445134,-0.12340671976786699,IS_XGB_TRAIN,1.0752166345230805,-0.2736488900613874
41,0.8086029888549285,1,0.5601961,0.0353632914357036,IS_XGB_TRAIN,1.0752166345230805,-0.2479627240759814
42,0.7451302162037287,1,0.3894153,-0.07849683160469689,IS_XGB_TRAIN,1.0752166345230805,-0.306995267484644
43,0.7747812085467162,1,0.5482618,0.03979303442296667,IS_XGB_TRAIN,1.0752166345230805,-0.2794185063083817
44,0.7119743844036174,1,0.38358325,-0.08106394869966937,IS_XGB_TRAIN,1.0752166345230805,-0.33783168754693016
45,0.7065769353830338,1,0.43165833,-0.0075809595665506935,IS_XGB_TRAIN,1.0752166345230805,-0.34285155874988793
46,0.6788886475209552,1,0.38259897,-0.03918651526187844,IS_XGB_TRAIN,1.0752166345230805,-0.36860291617225505
47,0.6432794000254566,1,0.41455474,-0.05245226536859937,IS_XGB_TRAIN,1.0752166345230805,-0.40172112356614775
48,0.7135515668385566,1,0.45020893,0.10924050546359654,IS_XGB_TRAIN,1.0752166345230805,-0.3363648366963211
49,0.6196918052111537,1,0.40810826,-0.13153886276678717,IS_XGB_TRAIN,1.0752166345230805,-0.4236586513693381
50,0.6612943085255533,1,0.5540092,0.06713418341916566,IS_XGB_TRAIN,1.0752166345230805,-0.3849664455583178
51,0.7586238621513552,1,0.56212425,0.14718038908093978,IS_XGB_TRAIN,1.0752166345230805,-0.29444556771775765
52,0.7473733003544342,1,0.40866333,-0.014830223986121438,IS_XGB_TRAIN,1.0752166345230805,-0.3049090979829041
53,0.7469527308497397,1,0.4716633,-0.0005627301704450582,IS_XGB_TRAIN,1.0752166345230805,-0.3053002466046709
54,0.7223136654813658,1,0.4571886,-0.0329861105673237,IS_XGB_TRAIN,1.0752166345230805,-0.3282156894812618
55,0.7807044162405029,1,0.54889226,0.08083849655568165,IS_XGB_TRAIN,1.0752166345230805,-0.27390965580923177
56,0.7573621536372718,1,0.44722956,-0.029898975998670863,IS_XGB_TRAIN,1.0752166345230805,-0.2956190135830582
57,0.7552592125291298,1,0.52084744,-0.002776665163478964,IS_XGB_TRAIN,1.0752166345230805,-0.2975748437298591
58,0.845438944198121,1,0.5192965,0.1194023590483686,IS_XGB_TRAIN,1.0752166345230805,-0.21370362301628532
59,0.8356603756676307,1,0.4289977,-0.011566262232886704,IS_XGB_TRAIN,1.0752166345230805,-0.22279813310524765
60,0.8551473242264928,1,0.51086354,0.023319220494681714,IS_XGB_TRAIN,1.0752166345230805,-0.20467439140225074
61,0.8335575281441582,1,0.462659,-0.025246873223702337,IS_XGB_TRAIN,1.0752166345230805,-0.22475387621408205
62,0.806009383324643,1,0.4901325,-0.03304888251786131,IS_XGB_TRAIN,1.0752166345230805,-0.25037489428151016
63,0.8187670326390541,1,0.5439789,0.015828164756330976,IS_XGB_TRAIN,1.0752166345230805,-0.23850970460271592
64,0.8579862151755154,1,0.6441892,0.04790029516705108,IS_XGB_TRAIN,1.0752166345230805,-0.20203409468634104
65,0.8718654767537815,1,0.6126021,0.0161765554420088,IS_XGB_TRAIN,1.0752166345230805,-0.18912575497820194
66,0.8673442142013114,1,0.5473564,-0.005185734121855745,IS_XGB_TRAIN,1.0752166345230805,-0.1933307332191455
67,0.9558415274745204,1,0.55109245,0.1020325169917704,IS_XGB_TRAIN,1.0752166345230805,-0.1110242375495889
68,0.9609586436176426,1,0.62273425,0.005353519381651406,IS_XGB_TRAIN,1.0752166345230805,-0.10626508857549233
69,0.9932733364083648,1,0.5890979,0.0336275582777108,IS_XGB_TRAIN,1.0752166345230805,-0.07621096575674002
70,1.0022106723447968,1,0.60114866,0.008997861523947659,IS_XGB_TRAIN,1.0752166345230805,-0.0678988399492777
71,1.0010891536656115,1,0.4399946,-0.0011190448377099704,IS_XGB_TRAIN,1.0752166345230805,-0.06894190294065605
72,1.000247921071553,1,0.42568007,-0.0008403173593263258,IS_XGB_TRAIN,1.0752166345230805,-0.06972428722215629
73,1.0276207818051106,1,0.5251352,0.02736607610664521,IS_XGB_TRAIN,1.0752166345230805,-0.044266291266114255
74,1.006030985722776,1,0.43161657,-0.02100949734045876,IS_XGB_TRAIN,1.0752166345230805,-0.06434577607794556
75,1.0238705633445804,1,0.6429301,0.017732632369158674,IS_XGB_TRAIN,1.0752166345230805,-0.04775416370048535
76,1.0239407518466987,1,0.6319854,6.855212429313084e-05,IS_XGB_TRAIN,1.0752166345230805,-0.04768888522555781
77,1.0563254459702005,1,0.63603806,0.031627507807551636,IS_XGB_TRAIN,1.0752166345230805,-0.017569658007810962
78,1.0947736779993913,1,0.61208314,0.0363980931973833,IS_XGB_TRAIN,1.0947736779993913,0.0
79,1.1052881963707624,1,0.57384574,0.009604284961057363,IS_XGB_TRAIN,1.1052881963707624,0.0
80,1.0369085923287877,1,0.50708574,-0.06186585929941224,IS_XGB_TRAIN,1.1052881963707624,-0.06186585929941213
81,1.0589084764328338,1,0.5957938,0.021216801815323594,IS_XGB_TRAIN,1.1052881963707624,-0.04196165315997891
82,1.0160977950352998,1,0.51879853,-0.04042906667604651,IS_XGB_TRAIN,1.1052881963707624,-0.08069424936258351
83,1.0326913863674951,1,0.5769,0.01633070302216222,IS_XGB_TRAIN,1.1052881963707624,-0.06568134016235805
84,1.0194943570298218,1,0.41223517,-0.012779257687133505,IS_XGB_TRAIN,1.1052881963707624,-0.07762123907832041
85,0.9969568289995475,1,0.38949165,-0.022106574572844928,IS_XGB_TRAIN,1.1052881963707624,-0.09801187394104383
86,1.0145057326379114,1,0.52568066,0.017602470967548633,IS_XGB_TRAIN,1.1052881963707624,-0.08213465413901744
87,1.019848200665169,1,0.5347539,0.0052660796833212675,IS_XGB_TRAIN,1.1052881963707624,-0.0773011020891542
88,1.0129843266659895,1,0.49553016,-0.006730289855591098,IS_XGB_TRAIN,1.1052881963707624,-0.08351113312152847
89,1.0076772336437998,1,0.5527408,-0.005239067261441965,IS_XGB_TRAIN,1.1052881963707624,-0.08831267993946756
90,1.022890919024344,1,0.5883754,0.015097776224963333,IS_XGB_TRAIN,1.1052881963707624,-0.07454822879405709
91,1.0417841664399525,1,0.5641793,0.018470442022918032,IS_XGB_TRAIN,1.1052881963707624,-0.057454725508991
92,1.0362294483822885,1,0.55824095,-0.005331927895051325,IS_XGB_TRAIN,1.1052881963707624,-0.06248030895039847
93,1.075820442810639,1,0.5378433,0.03820678372937403,IS_XGB_TRAIN,1.1052881963707624,-0.026660696872436773
94,1.0866822538904928,1,0.5771521,0.010096304780634835,IS_XGB_TRAIN,1.1052881963707624,-0.016833566613090212
95,1.0908926281709121,1,0.57462156,0.003874521982249801,IS_XGB_TRAIN,1.1052881963707624,-0.01302426665472256
